City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Magdagachi,RU,2020-08-28 18:12:24,53.45,125.8,45.48,81,44,5.17
70,Khani,GE,2020-08-28 18:12:24,41.96,42.96,71.6,88,82,6.93
71,Berlevag,NO,2020-08-28 18:12:24,70.86,29.09,44.6,75,40,11.41
72,Narsaq,GL,2020-08-28 18:12:24,60.92,-46.05,59.0,41,75,26.4
73,Jadu,LY,2020-08-28 18:12:25,31.95,12.03,78.04,48,0,12.1
74,Scarborough,GB,2020-08-28 18:09:10,54.28,-0.4,52.0,92,100,13.0
75,Volovo,UA,2020-08-28 18:12:25,48.52,23.51,50.0,92,22,11.99
76,Provideniya,RU,2020-08-28 18:12:25,64.38,-173.3,49.5,77,54,0.83
77,Alice Springs,AU,2020-08-28 18:12:25,-23.7,133.88,44.6,30,0,1.12
78,Busselton,AU,2020-08-28 18:12:26,-33.65,115.33,52.0,66,3,16.08
79,Albany,US,2020-08-28 18:10:13,42.6,-73.97,73.99,67,79,10.71
80,Butaritari,KI,2020-08-28 18:12:26,3.07,172.79,82.49,73,99,13.8
81,Pevek,RU,2020-08-28 18:12:08,69.7,170.31,39.22,87,22,2.91
82,Hirara,JP,2020-08-28 18:12:29,24.8,125.28,83.05,83,98,8.05
83,Lebu,CL,2020-08-28 18:12:29,-37.62,-73.65,50.02,92,100,15.37
84,Quatre Cocos,MU,2020-08-28 18:12:29,-20.21,57.76,72.0,73,20,8.05
85,Phek,IN,2020-08-28 18:08:08,25.67,94.5,61.14,100,81,1.34
86,Bethel,US,2020-08-28 18:12:29,41.37,-73.41,82.0,57,90,5.79
87,Lakatoro,VU,2020-08-28 18:12:30,-16.1,167.42,77.13,84,97,10.58
88,Svetlaya,RU,2020-08-28 18:12:30,46.54,138.33,60.12,91,100,18.14
89,Port Augusta,AU,2020-08-28 18:12:30,-32.5,137.77,46.99,75,0,6.93
90,Gazli,UZ,2020-08-28 18:12:30,40.13,63.45,74.97,27,0,11.88
91,Tuatapere,NZ,2020-08-28 18:10:23,-46.13,167.68,45.0,72,16,11.01
92,Barahona,DO,2020-08-28 18:12:31,18.21,-71.1,89.6,75,20,17.22
93,Kidal,ML,2020-08-28 18:12:31,18.44,1.41,79.79,72,62,15.82
94,Miri,MY,2020-08-28 18:12:31,4.41,114.01,78.8,94,40,3.36
95,Souillac,MU,2020-08-28 18:12:32,-20.52,57.52,71.6,73,20,8.05
96,Mount Isa,AU,2020-08-28 18:12:32,-20.73,139.5,68.0,37,0,8.05
97,Ilulissat,GL,2020-08-28 18:12:32,69.22,-51.1,46.4,45,20,11.41
98,General Roca,AR,2020-08-28 18:12:32,-39.03,-67.58,62.6,27,25,12.75
99,Hendrina,ZA,2020-08-28 18:12:32,-26.16,29.72,63.0,63,80,3.0
100,Rorvik,NO,2020-08-28 18:12:33,64.86,11.24,53.6,76,40,8.05
101,Marathon,US,2020-08-28 18:08:04,44.9,-89.77,71.01,88,40,13.87
102,Nome,US,2020-08-28 18:10:23,64.5,-165.41,52.0,87,90,4.52
103,Ostrovnoy,RU,2020-08-28 18:12:33,68.05,39.51,44.38,77,78,3.8
104,Esperance,AU,2020-08-28 18:12:34,-33.87,121.9,57.2,93,71,16.11
105,Laguna,US,2020-08-28 18:12:03,38.42,-121.42,79.0,56,1,5.82
106,Mahebourg,MU,2020-08-28 18:12:34,-20.41,57.7,71.6,73,20,8.05
107,Mokhsogollokh,RU,2020-08-28 18:12:07,61.47,128.92,45.1,81,26,2.53
108,Jamestown,US,2020-08-28 18:11:28,42.1,-79.24,77.0,88,90,8.05
109,Yellowknife,CA,2020-08-28 18:12:34,62.46,-114.35,51.8,87,75,10.29
110,Hithadhoo,MV,2020-08-28 18:12:35,-0.6,73.08,79.48,70,100,11.41
111,Tiznit,MA,2020-08-28 18:12:35,29.58,-9.5,86.45,23,0,7.96
112,Chuy,UY,2020-08-28 18:12:35,-33.7,-53.46,63.19,86,95,7.99
113,Longyearbyen,SJ,2020-08-28 18:12:35,78.22,15.64,33.8,91,90,5.82
114,Ngunguru,NZ,2020-08-28 18:12:35,-35.62,174.5,44.01,3,16,8.88
115,Santiago,CL,2020-08-28 18:09:43,-33.46,-70.65,51.8,71,75,2.24
116,Tecoanapa,MX,2020-08-28 18:12:36,16.52,-98.75,84.67,66,14,6.55
117,Gander,CA,2020-08-28 18:12:36,48.97,-54.59,68.0,42,40,18.34
118,Cherskiy,RU,2020-08-28 18:12:36,68.75,161.3,36.7,93,11,5.73
119,Dikson,RU,2020-08-28 18:12:37,73.51,80.55,50.0,78,18,10.11
120,Fortuna Foothills,US,2020-08-28 18:12:37,32.66,-114.41,107.01,20,1,4.7
