City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
543,Kousseri,CM,79.32,overcast clouds,12.08,15.03,Résidence le Palmier
544,Shubarshi,KZ,80.38,broken clouds,48.59,57.19,
546,Kununurra,AU,78.8,clear sky,-15.77,128.73,Hotel Kununurra
548,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
549,Abengourou,CI,80.01,light rain,6.73,-3.5,Hotel des Princes
550,Mirabad,AF,78.98,clear sky,30.44,61.84,
551,Sambava,MG,72.5,clear sky,-14.27,50.17,Melrose
553,Luganville,VU,77.14,moderate rain,-15.53,167.17,The Espiritu Hotel
554,Faizpur,IN,75.29,overcast clouds,21.17,75.85,तेज श्री ढाबा
555,Batie,BF,79.41,overcast clouds,9.88,-2.92,Auberge SONDAR AFACI
564,Kieta,PG,78.33,overcast clouds,-6.22,155.63,
567,Kulpahar,IN,81.28,scattered clouds,25.32,79.65,Peetambra Marriage Garden
569,Mahuva,IN,80.31,overcast clouds,21.09,71.76,Hotel Blue Diamond.
570,Banikoara,BJ,76.39,moderate rain,11.3,2.44,Hôtel de l'UCom CVPC
575,Rathenow,DE,71.01,overcast clouds,52.61,12.34,Hotel Fürstenhof
576,Manjeshwar,IN,80.6,scattered clouds,12.72,74.89,THE NOUSHA VILLAGE
580,Bama,NG,78.4,moderate rain,11.52,13.69,UN Humanitarian Hub
581,Kabo,CF,74.52,overcast clouds,7.7,18.63,
585,Sanski Most,BA,84.2,scattered clouds,44.77,16.67,Hotel Sanus
589,Sao Jose Da Coroa Grande,BR,80.65,broken clouds,-8.9,-35.15,Crôa Mares Hotel
594,Salitral,PE,83.97,clear sky,-4.86,-80.68,Mosoq Inn Puno
595,Caravelas,BR,78.13,clear sky,-17.71,-39.25,Pousada dos Navegantes
603,Hirara,JP,83.03,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
605,Bubaque,GW,81.12,light rain,11.28,-15.83,Casa Dora
606,Jalingo,NG,76.77,overcast clouds,8.88,11.37,Debright Motel
607,Shimoda,JP,73.99,clear sky,34.67,138.95,Shimoda Tokyu Hotel
610,Manga,BF,80.11,light rain,11.66,-1.07,Auberge Somkieta
611,Lamu,KE,76.3,clear sky,-2.27,40.9,Lamu House
612,Puerto Del Rosario,ES,78.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
615,Itupeva,BR,84.2,clear sky,-23.15,-47.06,Itupeva Plaza Hotel
619,Hope,US,82.0,broken clouds,33.67,-93.59,Best Western Hope
620,Kilosa,TZ,77.41,scattered clouds,-6.83,36.98,Happy oil Petrol Steshen
623,Nong Khai,TH,78.76,overcast clouds,17.88,102.74,Nong Khai Resort
624,Yaan,NG,76.41,light rain,7.38,8.57,
627,Kavaratti,IN,82.4,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
629,Eyl,SO,77.5,few clouds,7.98,49.82,Amiin Hotel
631,Butte,US,79.0,clear sky,39.65,-121.57,Lime Saddle Campground
633,Gamba,GA,74.79,overcast clouds,-2.65,10.0,
636,Sapa,PH,82.44,broken clouds,5.15,120.32,
638,Salinopolis,BR,84.06,scattered clouds,-0.61,-47.36,Hotel Salinópolis
642,Payo,ID,74.05,broken clouds,-3.75,103.64,Mess keban agung
649,Maragogi,BR,80.13,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
651,Mathathane,BW,81.82,clear sky,-22.27,28.75,Selepswe Resort
652,Loandjili,CG,74.35,broken clouds,-4.76,11.86,Résidence ARCHANGE
655,Mwene-Ditu,CD,80.85,broken clouds,-7.0,23.45,Hôtel Kamas
657,Guiberoua,CI,78.73,light rain,6.24,-6.17,HOTEL LAGOTCHE
659,Odweyne,SO,82.92,broken clouds,9.41,45.06,Eng Hiirey House
666,Glenwood Springs,US,75.0,overcast clouds,39.55,-107.32,Glenwood Springs Cedar Lodge
667,Wajima,JP,82.04,clear sky,37.4,136.9,Wajiima Onsen Yashio
673,Sijunjung,ID,74.97,broken clouds,-0.69,100.95,Hotel Bukik Gadang
674,Champerico,GT,82.4,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
676,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
679,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
682,Tongren,CN,74.97,light rain,27.72,109.19,Fanjing Mountain International Conference Center
686,Raga,SS,74.14,light rain,8.46,25.68,
